respID,qID,profileID,altID,obsID,choice,time_sec_p1,ownhome,oftencook,time_sec_p2,time_sec_p3,induction,inductionOther,heatingeff,heatingeffOther,carbon,carbonOther,yearOfBirth,feedback,time_min_total,Cooktop_Type,final_cost_price,Average_annual_usage_Cost,Indoor_air_Quality,number_of_burners
3,5,71,2,21,1,33,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.183333333333333,Electric,1500,7,10,3
3,5,207,3,21,0,33,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.183333333333333,Induction,1500,7,5,5
3,6,154,1,22,0,33,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.183333333333333,Gas,500,8,10,4
3,6,56,2,22,1,33,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.183333333333333,Electric,500,6,10,3
3,6,42,3,22,0,33,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.183333333333333,Induction,800,7,5,3
3,7,175,1,23,0,33,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.183333333333333,Gas,800,7,0,5
3,7,113,2,23,1,33,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.183333333333333,Electric,800,6,5,4
3,7,111,3,23,0,33,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.183333333333333,Induction,500,6,5,4
3,8,229,1,24,0,33,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.183333333333333,Gas,800,7,10,5
3,8,158,2,24,1,33,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.183333333333333,Electric,800,8,10,4
3,8,198,3,24,0,33,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.183333333333333,Induction,1500,6,5,5
4,1,187,1,25,0,33,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.1166666666666667,Gas,1500,8,0,5
4,1,104,2,25,0,33,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.1166666666666667,Electric,800,8,0,4
4,1,27,3,25,1,33,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.1166666666666667,Induction,1500,8,0,3
4,2,52,1,26,0,33,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.1166666666666667,Gas,1500,8,5,3
4,2,164,2,26,1,33,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.1166666666666667,Electric,500,6,0,5
4,2,159,3,26,0,33,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.1166666666666667,Induction,800,8,10,4
4,3,22,1,27,0,33,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.1166666666666667,Gas,800,8,0,3
4,3,5,2,27,1,33,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.1166666666666667,Electric,800,6,0,3
4,3,150,3,27,0,33,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.1166666666666667,Induction,800,7,10,4
4,4,76,1,28,0,33,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.1166666666666667,Gas,800,8,10,3
4,4,59,2,28,0,33,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.1166666666666667,Electric,800,6,10,3
4,4,114,3,28,1,33,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.1166666666666667,Induction,800,6,5,4
4,5,64,1,29,0,33,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.1166666666666667,Gas,500,7,10,3
4,5,71,2,29,1,33,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.1166666666666667,Electric,1500,7,10,3
4,5,207,3,29,0,33,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.1166666666666667,Induction,1500,7,5,5
4,6,154,1,30,0,33,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.1166666666666667,Gas,500,8,10,4
4,6,56,2,30,1,33,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.1166666666666667,Electric,500,6,10,3
4,6,42,3,30,0,33,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.1166666666666667,Induction,800,7,5,3
4,7,175,1,31,0,33,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.1166666666666667,Gas,800,7,0,5
4,7,113,2,31,1,33,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.1166666666666667,Electric,800,6,5,4
4,7,111,3,31,0,33,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.1166666666666667,Induction,500,6,5,4
4,8,229,1,32,0,33,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.1166666666666667,Gas,800,7,10,5
4,8,158,2,32,1,33,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.1166666666666667,Electric,800,8,10,4
4,8,198,3,32,0,33,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.1166666666666667,Induction,1500,6,5,5
5,1,187,1,33,0,23,2,2,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.0166666666666666,Gas,1500,8,0,5
